specimen_number,long_n25k,lat_n25k,replicate,elev_m_n
CHSC9270,-121.900964210488,39.9023456954133,rep5,111.06
CSUSB91437,-117.179261005786,34.3920495512838,rep5,1379.38
CSUSB91439,-116.629789630057,33.0637430120704,rep5,1137.66
CSUSB91441,-117.411042001634,33.7611420437469,rep5,683.74
CSUSB91442,-117.31732387315,33.9910827627456,rep5,429.4
CSUSB91443,-117.291623419789,34.1031500083273,rep5,314.73
CSUSB91444,-117.21490414025,33.5354581168329,rep5,356.77
DAV300326,-122.973393277686,38.9978792721814,rep5,518.05
DAV300327,-120.605157702879,38.5131232149459,rep5,977.8
DAV300330,-118.084039668108,34.2731647253552,rep5,1619.21
DAV300331,-117.455564187513,33.9207528049645,rep5,233.92
DAV300333,-119.505842376314,36.9360712599378,rep5,199.39
DAV300334,-120.416664443449,35.4532831331357,rep5,534.28
DAV300336,-121.197177085811,38.7594378033603,rep5,92.93
DAV300337,-120.407276945203,38.530603252592,rep5,1499.4
DAV300338,-117.780428602221,34.12137500313,rep5,350.93
DAV300341,-119.200940047568,36.5885406580494,rep5,365.85
DAV300342,-122.758797455523,39.0230375834146,rep5,421.05
DAV300343,-121.878519718264,39.260128239648,rep5,30.67
DAV300344,-119.821366341969,35.0676634579087,rep5,959.71
DAV300345,-123.173812241949,38.4809435334271,rep5,99.01
DAV300346,-119.683104273543,34.5568333447358,rep5,637.31
DAV300349,-121.93472367616,37.6537325846336,rep5,388.4
DAV300351,-122.153491885605,38.5565757486887,rep5,373.64
DAV300352,-122.350607239172,38.94348493957,rep5,321.04
DAV300353,-122.366966161901,38.6183020462014,rep5,220.21
DAV300354,-122.40680009913,38.6153203277134,rep5,191.57
DAV300357,-123.183858619869,39.1717602960897,rep5,221.09
DAV300358,-122.82869769325,38.7833057854159,rep5,535.32
DAV300359,-122.838449284758,38.6855381150135,rep5,60.08
DAV300360,-122.666795867283,38.6806898977776,rep5,506.52
DAV300361,-122.850755315277,38.816017647695,rep5,474.41
DAV300363,-122.494836848198,38.5081573470401,rep5,148.66
DAV300366,-120.58929964433,37.6096316854352,rep5,74.78
DAV300369,-121.924128638984,38.699750055327,rep5,42.09
DAV300371,-116.621363290777,34.0734208974263,rep5,1453.32
DAV300373,-123.04263726189,40.8593150357856,rep5,753.15
DAV300376,-121.967672110097,38.5117545554471,rep5,41.44
DAV300378,-122.907755604537,38.7747724362698,rep5,378.74
DAV300380,-122.413314382254,38.6114520847517,rep5,216.12
DAV300383,-122.514083093753,38.4364911997194,rep5,366.15
DAV300385,-122.969373287328,38.6869199225047,rep5,235.59
DAV300386,-122.301987560624,38.414818956946,rep5,382.51
DAV300387,-122.523154014865,38.4438233170267,rep5,326.87
DAV300388,-122.82708849965,38.6751622699378,rep5,57.19
DAV300390,-123.44280329215201,38.6936807157925,rep5,0.62
DAV300391,-120.949821820211,39.2119276739634,rep5,826.52
DAV300392,-117.637837657164,34.1555062024391,rep5,606.58
DAV300393,-117.253072517972,34.1160325417518,rep5,331.8
DAV300394,-118.012082507387,34.4374576622515,rep5,1126.59
DAV300395,-117.35992031212,34.3511817456878,rep5,1106.56
DAV300396,-121.956994199903,38.2402644123217,rep5,7.36
DAV300398,-120.451485714582,38.1404096918047,rep5,685.61
DAV300399,-122.38608471894,38.4582783644297,rep5,42.02
GH93110,-117.069475862277,34.3793895396362,rep5,1708.19
GMDRC3694,-115.638687417249,34.8394014664609,rep5,1119.19
GMDRC4298,-115.688756916811,34.744699805978,rep5,1070.18
GMDRC7692,-115.533512358363,34.7809874309938,rep5,918.92
GMDRC7800,-115.660874580008,34.7880148944192,rep5,1376.5
GMDRC9674,-115.898288948172,34.7408819993759,rep5,797.06
GMDRC9754,-115.704214737492,34.8734552997764,rep5,853.73
GMDRC995,-115.67113402136,34.7951210613359,rep5,1568.38
HREC492,-123.330325793768,38.9681803358362,rep5,394.32
HREC495,-123.07492866743,39.2004142645524,rep5,573.86
HSC201461,-123.349056794467,40.8764064980921,rep5,1218.75
HSC201463,-120.516231756324,38.2486749943235,rep5,788.01
HSC201464,-119.780045404085,37.0470235365921,rep5,189.65
HSC201465,-123.563192480452,40.3952451653795,rep5,1266.85
HSC201466,-119.782613236035,34.4608618127618,rep5,121.52
HSC201467,-120.68470205363,35.4384669911354,rep5,435.21
HSC201469,-123.701968380456,40.8382094475494,rep5,1328.35
HSC201470,-123.545299792126,41.025488906641,rep5,434.08
HSC201472,-123.613837458117,39.7597986626845,rep5,457.4
HSC201473,-122.364528553544,39.2164580195823,rep5,175.15
HSC201475,-123.130656458737,39.1257740457185,rep5,388.07
HSC201476,-117.490692875539,33.7911972832575,rep5,294.31
HSC201477,-123.473011354767,40.875311723858204,rep5,751.26
HSC201478,-123.598676179962,40.912714934938,rep5,653.74
HSC201479,-123.780023977743,39.3128589374651,rep5,142.75
