specimen_number,long_n2k,lat_n2k,replicate,elev_m_n
AHUC100004,-120.045608256045,37.4731823737543,rep1,657.04
AHUC100005,-120.062645866049,37.4594401892673,rep1,730.15
AHUC100006,-120.466629106811,38.0523933500007,rep1,478.47
AHUC100007,-119.401636759586,36.6821398314389,rep1,121.52
AHUC100008,-123.085629216344,39.0012891465933,rep1,256.2
AHUC100009,-123.789316604611,39.4906692068548,rep1,18.16
AHUC100010,-119.38091520326,36.8036194279642,rep1,242.1
CAS-BOT-BC95004,-121.240199756699,35.994497901089,rep1,309.97
CDA40358,-119.339126343843,36.8064361344243,rep1,409.3
CHSC14017,-122.359573797608,39.0152604042364,rep1,328.43
CHSC23125,-122.992170984187,37.9900186370077,rep1,-0.06
CHSC24140,-122.784578641035,38.9321595120693,rep1,644.32
CHSC24930,-124.213791387895,41.7848824072331,rep1,11.59
CHSC26054,-117.002290630435,34.0125414109843,rep1,967.78
CHSC26430,-123.888586393477,41.7286191895825,rep1,350.57
CHSC27517,-122.784573036515,38.940442868016,rep1,568.15
CHSC27541,-122.800352238482,38.9391235760549,rep1,562.76
CHSC27746,-120.211278068496,37.7101569814388,rep1,544.32
CHSC27799,-122.792943090932,38.9441354216019,rep1,541.35
CHSC31076,-122.570853581977,38.3526734206871,rep1,559.67
CHSC31077,-121.389103208589,39.5515158347964,rep1,329.8
CHSC31306,-123.497979415446,39.7028709076653,rep1,545.8
CHSC32094,-121.34915327037,39.399249305011,rep1,276.15
CHSC35982,-121.921614809189,39.8936861786237,rep1,86.84
CHSC36121,-122.363242191536,39.0111472552257,rep1,328.43
CHSC38460,-121.762789942045,39.7774196624953,rep1,194.75
CHSC40119,-123.311929879937,38.9417999046808,rep1,261.83
CHSC4019,-121.681381529456,39.7291650283179,rep1,338.62
CHSC4065,-122.265319215768,40.1630556556284,rep1,90.27
CHSC43315,-121.806694001471,39.267713925319,rep1,112.67
CHSC47108,-120.427882381838,36.0906244226168,rep1,317.52
CHSC52401,-122.785983374119,38.9097794905471,rep1,742.3
CHSC55499,-121.955468747344,40.4031768904131,rep1,412.28
CHSC55712,-122.496253547164,39.4967393836817,rep1,339.38
CHSC56643,-122.565179396799,39.8473968321248,rep1,238.19
CHSC57470,-123.307106815298,38.5558280064506,rep1,0.95
CHSC59547,-122.68505758099,39.0286973210086,rep1,631.73
CHSC59744,-120.316831219433,37.8160165041442,rep1,288.93
CHSC61985,-118.861776523199,34.3405133736777,rep1,385.9
CHSC62467,-121.373201567612,39.5507732540049,rep1,330.94
CHSC700,-121.292810948815,38.8920122144564,rep1,51.09
CHSC70018,-119.313166067223,36.8982389550802,rep1,649.45
CHSC70378,-121.018757372435,36.9318149752962,rep1,191.06
CHSC71117,-122.783933384644,39.0525311758721,rep1,403.74
CHSC77587,-122.59015525096,39.7849048205207,rep1,272.65
CHSC81274,-123.805475620775,39.4880664437155,rep1,0
CHSC88986,-121.886370490474,39.8649042967516,rep1,94.6
CHSC90100,-122.773534941526,38.9374264806611,rep1,667.34
CHSC90532,-122.594285031409,39.1686880319787,rep1,769.08
CHSC9270,-121.933830467625,39.9000010589725,rep1,81.69
CSUSB91437,-117.267294419771,34.2451388158409,rep1,1387.6
CSUSB91439,-116.658351468947,33.0857677276541,rep1,1137.93
CSUSB91441,-117.47685636684,33.8323658316659,rep1,356.63
CSUSB91442,-117.300741519124,33.9792473283182,rep1,593.82
CSUSB91443,-117.372926759259,33.9587288809206,rep1,298.08
CSUSB91444,-117.115096118763,33.7511198902202,rep1,518.91
DAV300326,-122.782816981718,39.0512453931574,rep1,403.74
DAV300327,-120.630763,38.4484825060182,rep1,677.45
DAV300330,-118.286228538776,34.2367651687326,rep1,550.8
DAV300331,-117.448191960156,33.7707111274294,rep1,463.07
DAV300333,-119.324925391826,36.9187516505848,rep1,403.74
DAV300334,-120.277328658537,35.4391988660869,rep1,512.11
DAV300336,-120.976521815458,38.8315989857096,rep1,306.94
DAV300337,-120.425238565275,38.5364459075048,rep1,1316.1
DAV300338,-117.678664509827,34.1857364370058,rep1,919.6
DAV300341,-119.214489698915,36.5644547999121,rep1,190.65
DAV300342,-122.73826639511,39.0371095055332,rep1,596.91
DAV300343,-121.777281874248,39.2256180617426,rep1,213.17
DAV300344,-119.868402040809,35.1936527889831,rep1,600.16
DAV300345,-123.044345067535,38.3062414601023,rep1,0
DAV300346,-119.693773910833,34.4552552083449,rep1,260.38
DAV300349,-121.866657159833,37.6181377940811,rep1,163.56
DAV300351,-122.182672793087,38.438390404394,rep1,270.39
DAV300352,-122.395351301103,39.0367973122169,rep1,637.33
DAV300353,-122.20822779421,38.5730947480853,rep1,134.92
DAV300354,-122.229972484619,38.5100614609795,rep1,143.85
DAV300357,-123.108066156057,39.0088562489291,rep1,209.75
DAV300358,-122.776917398804,38.8448059403616,rep1,790.95
DAV300359,-122.827364422281,38.7995387331668,rep1,510.89
DAV300360,-122.62017709998,38.8385932665305,rep1,586.15
DAV300361,-122.756512500052,38.829985379936,rep1,850.4
DAV300363,-122.458786087491,38.5747134513439,rep1,524.41
DAV300366,-120.475931093599,37.665745870535,rep1,62.11
DAV300369,-122.033638290159,38.5014972961514,rep1,112.75
DAV300371,-116.621315801115,34.039835243258,rep1,947.54
DAV300373,-123.0180645057,40.745951426327,rep1,648.96
DAV300376,-122.023038819454,38.4865756967493,rep1,39.15
DAV300378,-122.940327844321,38.8348487181978,rep1,531.48
DAV300380,-122.398042987356,38.6164171289621,rep1,188.21
DAV300383,-122.495778168547,38.4320512339802,rep1,669.95
DAV300385,-122.830644458266,38.7992964591824,rep1,530.67
DAV300386,-122.277943633265,38.3673157003737,rep1,71.8
DAV300387,-122.528465926749,38.4419423644825,rep1,207.41
DAV300388,-122.682536754391,38.6400681482462,rep1,142.52
DAV300390,-123.467139932012,38.7158843621638,rep1,0
DAV300391,-121.074133784381,39.0441119249869,rep1,459.43
DAV300392,-117.679852226136,34.1761714306557,rep1,852.34
DAV300393,-117.273302827054,34.1867736394251,rep1,579.44
DAV300394,-118.234534966367,34.5176814192546,rep1,1007.96
DAV300395,-117.17986307467,34.2616313044844,rep1,1559.72
DAV300396,-122.139170426209,38.2571530191387,rep1,100.81
DAV300398,-120.353975095349,38.186335264572,rep1,945.25
DAV300399,-122.502979164423,38.4402368238846,rep1,458.44
GH93110,-117.139061968443,34.473309259516,rep1,914.69
GMDRC3694,-115.665023064059,34.8181361668472,rep1,1285.7
GMDRC4298,-115.679245035231,34.7912906830077,rep1,1842.23
GMDRC7692,-115.663366819634,34.7846672036182,rep1,1347.47
GMDRC7800,-115.631728585991,34.7804786521753,rep1,1215.13
GMDRC9674,-115.684090186748,34.806494366867,rep1,1460.65
GMDRC9754,-115.654467300606,34.8115802849753,rep1,1262.6
GMDRC995,-115.626907394029,34.8195272166188,rep1,1174.69
HREC492,-123.088089813609,39.0024842510065,rep1,253.91
HREC495,-123.07515478618,38.9887694480678,rep1,318.2
HSC201461,-123.488756048634,40.8678885443623,rep1,593.72
HSC201463,-120.600665167135,38.2518241037553,rep1,633.04
HSC201464,-119.680578415778,36.9383858363413,rep1,130.3
HSC201465,-123.597775089491,40.4582279039903,rep1,1203.76
HSC201466,-119.766874652173,34.5501079930029,rep1,369.82
HSC201467,-120.668270368082,35.4727482773249,rep1,273.55
HSC201469,-123.654249581578,41.0096232450651,rep1,320.14
HSC201470,-123.47078615711,40.8451454550622,rep1,408.71
HSC201472,-123.63663162306,39.7459586297325,rep1,441.16
HSC201473,-122.430697984138,39.0817356052841,rep1,432.95
HSC201475,-122.948502887791,39.1721270432294,rep1,403.9
HSC201476,-117.488280745462,33.780052669685404,rep1,307.47
HSC201477,-123.45634877948,40.852038127424,rep1,709.22
HSC201478,-123.476833125698,40.8433989314378,rep1,422.68
HSC201479,-123.789931255862,39.4872169238399,rep1,11.27
HSC201481,-123.066475431968,38.5395811001069,rep1,155.89
HSC201482,-123.089485999425,38.9172893852296,rep1,284
HSC201484,-123.720278434162,40.839820891814,rep1,1467.27
HSC201485,-124.122705628699,41.0407347405984,rep1,0
HSC201486,-124.120345716048,41.0397206252524,rep1,35.46
HSC201487,-124.004649011474,41.2762121949883,rep1,561.72
HSC201488,-123.129464731181,39.1322730795454,rep1,456.61
HSC201489,-124.160937202002,41.1010186489408,rep1,45.36
HSC201492,-123.720253072896,40.834321326058,rep1,1357.62
HSC201493,-123.78196651637,40.8880659557628,rep1,610.86
HSC201494,-123.840928502992,40.5493806080058,rep1,841.37
HSC201495,-123.580104280611,40.4935886090375,rep1,1002.74
HSC201497,-123.791852330271,40.9750511179867,rep1,522.36
HSC201498,-124.127863669623,41.0454207577199,rep1,0
HSC201499,-124.106945493051,41.0396630044584,rep1,120.53
HSC201503,-123.668146967837,40.469114388608,rep1,794.52
HSC201504,-124.15870807658,41.0535595905001,rep1,0
HSC201505,-123.54640277658,40.7901623376209,rep1,490.24
HSC201506,-123.541932129496,40.7840899310203,rep1,556.12
HSC201507,-123.850252910102,41.1062900870144,rep1,843.63
