ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
SDSU15873,2004,32.87806,-116.80056,305,17.8,24.9,12.2,12.7,387,23,71.9,1097,9,4646,950,852,354,27,354,327,0,-5.5,46.4,-9999,1519,1152,53
SDSU18390,2008,33.79722,-117.46225,418,18,25.6,12.1,13.5,298,18,94,1412.3,9,4723,945,926,357,22,356,334,0,-4.5,47.5,-9999,1517,1233,54
SDSU18403,2008,33.79494,-117.45103,405,18.1,25.7,12.2,13.4,297,18,94.5,1433.9,9,4742,931,931,358,20,357,337,0,-4.2,47.5,-9999,1513,1229,54
SDSU19900,2002,32.95028,-116.60639,1868,12.1,20.9,5.3,15.6,936,76,23.6,275.6,65,2782,2458,294,299,103,316,213,19,-15.6,39.9,17.7,1122,695,63
SDSU19911,2012,32.96251,-116.58741,1490,12.8,21.7,6,15.7,804,67,28.4,325,52,3009,2257,361,295,109,314,205,12,-16.1,41.6,-9999,1230,799,58
SD00010602,1895,32.8332,-117.25881,-9999,17.2,21.7,13.4,8.3,281,13,96.8,1654.9,7,4385,889,548,365,0,364,364,0,1.5,39.1,-9999,1040,761,73
SD00010542,1925,33.36337,-116.83613,1585,14.2,23.3,7.4,15.9,683,56,35.4,414.6,37,3454,1924,535,326,75,334,259,6,-11.8,41.4,-9999,1174,785,64
SD00010505,1925,33.8748,-116.842,1219,15.6,24.4,9,15.4,486,54,52.8,449.7,23,3909,1557,677,329,71,335,265,2,-11.5,44.2,17.5,1363,984,56
SD00010576,1878,33.37642,-117.25115,-9999,17.8,23.6,13.6,9.9,405,15,68.7,1570.4,6,4614,840,726,365,0,365,364,0,0.5,44.1,-9999,1307,980,62
SD00010562,1884,32.73409,-117.12945,-9999,17.8,22.5,13.8,8.7,266,13,104.3,1757.8,6,4593,791,656,365,1,364,362,0,3,40.2,-9999,1067,799,73
SD00010503,1882,33.4956,-117.1493,-9999,18.1,25.5,12.3,13.2,405,22,69.2,1148.9,9,4725,929,910,357,21,357,336,0,-4.4,47.1,-9999,1496,1158,54
SD00010484,1882,33.4956,-117.1493,-9999,18.1,25.5,12.3,13.2,405,22,69.2,1148.9,9,4725,929,910,357,21,357,336,0,-4.4,47.1,-9999,1496,1158,54
SD00010574,1935,33.09021,-116.79119,-9999,16.5,24.3,10.5,13.8,474,33,55.8,740.1,15,4173,1282,706,340,55,344,288,1,-8.6,45.4,-9999,1465,1067,53
SD00010616,1935,32.8442,-117.2525,-9999,17.2,21.8,13.4,8.3,280,13,97.2,1667.9,7,4387,890,550,365,0,364,364,0,1.3,39.3,-9999,1049,770,72
SD00010615,1935,33.0857,-117.2639,-9999,16.8,21.6,13,8.7,287,14,93.5,1583.1,8,4259,977,508,364,1,362,361,0,-1,39.7,-9999,1104,822,69
SD00010561,1935,33.25052,-117.12968,-9999,17.6,24,12.8,11.2,380,19,72.7,1282.9,8,4550,926,743,360,12,360,348,0,-2.8,44.8,-9999,1389,1046,58
SD00010547,1935,32.6589,-116.1008,-9999,16.7,25.8,9.3,16.5,330,41,80.9,627.7,18,4304,1345,876,333,67,336,269,1,-9.4,46.2,-9999,1545,1222,51
SD00010556,1935,32.59816,-116.64312,-9999,16.6,24.8,10.3,14.6,377,29,70.4,858.4,15,4216,1288,745,330,68,335,266,1,-11,46.3,-9999,1536,1176,50
SD00010465,1935,33.08232,-116.51855,-9999,16.2,25,9.2,15.8,391,44,66.9,563.2,21,4102,1448,764,323,80,331,251,1,-12.2,46.3,-9999,1561,1209,49
SD00010604,1935,32.95935,-116.57969,-9999,12.7,21.6,5.8,15.7,807,67,28.1,321.8,54,2973,2290,352,293,110,313,203,13,-16.3,41.4,-9999,1222,792,58
SD00010571,1935,33.13604,-116.79118,-9999,16.2,24.5,10,14.5,522,38,50.3,639,17,4105,1369,712,337,61,341,281,1,-9.3,45.3,-9999,1453,1046,54
SD00010462,1935,33.38516,-116.67809,-9999,14.6,23.5,7.7,15.8,463,58,53.1,408.6,33,3572,1812,562,322,82,332,250,3,-12.5,43.2,-9999,1309,951,58
SD00010613,1935,33.34371,-116.9104,-9999,15,24.1,8.3,15.9,568,52,44.1,463.7,29,3726,1724,638,330,72,336,264,3,-10.8,42.8,-9999,1268,882,61
SD00010463,1936,33.21113,-116.52236,-9999,15,24,7.9,16,402,58,62.1,416.8,30,3711,1731,625,333,66,338,273,2,-11,42.3,-9999,1281,947,61
SD00010607,1936,32.81302,-116.83831,-9999,18.1,24.8,12.6,12.2,382,21,73.6,1164.8,8,4733,881,871,358,18,358,339,0,-4.2,46,-9999,1488,1124,55
SD00010554,1936,32.54362,-117.08315,-9999,17.5,22.3,13.5,8.8,262,13,104.8,1719.7,6,4501,843,615,365,0,363,363,0,1.8,40.2,-9999,1080,819,72
SD00010569,1936,32.99283,-116.59522,-9999,13.2,22,6.3,15.7,793,67,29.2,328.4,47,3110,2168,387,303,102,318,216,10,-15.2,41.8,-9999,1235,803,59
SD00010570,1936,33.04838,-116.63085,-9999,14.6,23.4,8,15.4,681,62,36.1,374.4,30,3568,1785,539,327,76,333,257,4,-11.5,43.4,-9999,1304,875,59
SD00010568,1936,32.92561,-116.45807,-9999,14.3,23.2,7.1,16.1,556,58,43.7,403.2,37,3484,1900,538,304,102,320,218,5,-14.6,43.9,-9999,1403,998,53
SD00010578,1937,32.71175,-116.75089,-9999,16.5,24.4,10.5,13.9,454,32,58.5,766.7,15,4200,1268,713,337,58,341,283,1,-9.7,45.6,-9999,1482,1089,52
SD00010543,1937,33.36337,-116.83613,-9999,14.5,23.7,7.7,16,646,54,38,437.6,34,3556,1848,577,326,76,334,258,5,-11.8,42,-9999,1217,825,62
SD00010572,1937,32.92704,-116.83838,-9999,17.3,24.5,11.6,12.9,432,28,63.2,885.7,11,4446,1072,780,350,35,351,315,1,-6.4,45.9,-9999,1493,1109,53
SD00010610,1938,32.72802,-117.23979,-9999,17.4,21.7,13.7,8,249,12,110.1,1800.7,6,4446,841,563,365,0,363,363,0,3.9,38.5,-9999,943,695,77
SD00010557,1938,32.77089,-116.7978,-9999,17.8,24.8,12.1,12.7,404,24,68.7,1043.2,9,4624,962,841,355,25,355,330,0,-5.1,46,-9999,1495,1116,54
SD00010575,1938,33.27763,-116.85549,-9999,15.8,24.4,9.1,15.3,593,48,43.5,511.7,22,3962,1514,689,335,63,340,276,2,-10.2,44.3,-9999,1378,969,57
SD00010552,1938,32.88727,-116.44724,-9999,12.7,21.5,5.8,15.8,633,65,35.9,331.6,55,2980,2285,352,282,120,309,189,10,-17.1,42.1,-9999,1303,891,54
SD00010573,1938,33.07822,-116.61748,-9999,14.6,23.3,8,15.3,683,62,36,375.8,30,3561,1790,536,328,75,334,259,4,-11.4,43.3,-9999,1300,874,59
SD00010612,1938,32.66367,-116.27363,-9999,14.5,23.1,8,15.1,407,49,60.2,474.6,28,3535,1776,501,303,107,318,211,2,-13.2,44.6,-9999,1466,1102,49
SD00010606,1938,32.94033,-116.51363,-9999,13.1,22,6.1,15.9,691,63,33.5,349.8,50,3106,2189,394,297,108,315,207,9,-15.8,41.9,-9999,1266,852,57
SD00010608,1938,33.32563,-116.89086,-9999,14.8,24,8,16,623,56,39.8,428.7,32,3653,1781,614,329,73,335,261,4,-11.1,42.4,-9999,1240,841,62
SD00010560,1939,33.28781,-117.08392,-9999,17.7,24.6,12.8,11.8,392,20,70.9,1234.2,8,4607,927,799,359,15,359,344,0,-3.3,46.4,-9999,1435,1089,56
SD00010609,1940,33.39493,-117.0338,-9999,17.6,25.3,12.3,13,442,28,62.4,909.3,10,4558,1027,844,361,13,361,348,0,-3,45.7,-9999,1396,1049,59
SD00010559,1940,33.43751,-117.32043,-9999,17.7,23.8,13.5,10.2,356,17,77.9,1434.9,7,4590,869,730,365,0,365,365,0,0.3,44.4,-9999,1306,998,62
SD00010614,1940,33.28809,-116.59418,-9999,13.9,22.7,7.2,15.5,532,74,44.9,307.6,38,3352,1969,471,313,91,327,236,5,-14,41.6,-9999,1255,877,59
SD00010464,1941,33.22157,-116.60615,-9999,14.6,23.3,8.1,15.2,491,60,50.2,387.4,30,3571,1777,534,314,92,327,236,3,-13.7,43.4,-9999,1377,998,54
SD00010467,1941,33.21145,-116.5124,-9999,15.1,24.2,7.9,16.3,396,58,63.4,419.1,30,3747,1719,648,334,64,339,275,2,-10.9,42.4,-9999,1279,950,61
SD00010611,1941,32.5987,-116.50384,-9999,15.3,23.6,9,14.6,370,34,68.5,703.4,22,3792,1561,573,308,102,320,219,1,-12.3,45.8,-9999,1556,1207,46
SD00010540,1945,33.33502,-116.86051,-9999,14.5,23.8,7.7,16.1,651,59,37.7,400,35,3557,1859,586,326,76,334,258,5,-11.7,41.9,-9999,1205,808,63
SD00010538,1941,32.65127,-116.38252,-9999,14.2,22.7,7.9,14.8,451,40,53.8,561.9,29,3436,1835,450,293,119,312,193,3,-13.9,44.9,-9999,1490,1116,47
SD00010494,1935,35.17997,-118.83301,-9999,19,29.4,9,20.4,166,11,174.8,2593.8,17,5129,1093,1450,349,38,344,305,0,-8.4,46,-9999,1499,1334,57
SD00010499,1932,37.72644,-119.61164,-9999,9.3,18.8,1.9,16.9,1057,83,18.2,227.1,155,2031,3306,136,221,146,287,141,94,-24.5,38.1,-9999,1011,596,57
SD00010500,1933,37.4634,-122.2613,-9999,15,19.8,10,9.8,648,24,38.6,814.8,16,3617,1438,320,354,26,352,325,2,-5.7,40.1,-9999,1164,812,62
SD00010553,1935,32.99264,-116.56513,-9999,13,21.9,6.1,15.8,786,68,29.3,322.9,50,3076,2208,384,300,104,317,213,11,-15.6,41.5,-9999,1229,801,59
