ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
SBBG164508,1968,35.418,-118.579,1859,10.6,21.5,1.9,19.6,395,31,52.3,692.5,137,2490,2972,292,251,127,298,171,27,-22.5,36.8,-9999,1075,781,61
SBBG164507,1967,35.195066,-118.534846,-9999,13.5,23.9,5.3,18.6,251,22,93.8,1070.8,55,3273,2165,527,292,106,314,208,4,-17.8,40.5,-9999,1246,1006,57
SBBG164522,1928,34.778,-120.155,-9999,15.3,21.3,10.2,11.1,449,17,56.4,1269.5,16,3741,1413,411,336,61,340,279,1,-10.6,41.6,-9999,1322,965,55
SBBG164527,1964,34.942,-120.1995,335,15.8,23.2,9.7,13.5,423,20,60.9,1147.2,19,3934,1420,594,338,57,343,285,1,-9.7,42.7,-9999,1313,953,57
SBBG164512,2017,36.5567,-120.8108,715,15.1,24.5,7.6,16.8,300,16,83.7,1485.4,30,3748,1700,644,316,85,326,241,2,-14.9,42.8,16.9,1381,1115,52
SBBG164523,1938,35.805,-118.681,-9999,12.6,22.6,4.8,17.8,577,40,39.1,564.1,66,2974,2375,400,277,116,306,190,13,-19.5,40.5,-9999,1214,843,56
SBBG164525,1928,34.4895,-120.225,-9999,14.3,18,11.1,6.9,429,16,56.6,1144,13,3317,1571,148,355,22,356,333,1,-5.5,37.4,-9999,1074,742,65
SBBG164515,1974,35.01,-120.48,-9999,13.8,16.7,10.7,6,366,15,65.2,1112.9,14,3157,1685,98,346,42,345,303,1,-8.5,35.6,-9999,1074,750,63
SBBG164511,2010,34.87801,-119.34137,1469,13.2,22.9,5.4,17.5,277,23,83.8,1008,60,3181,2224,480,286,115,312,197,5,-17.7,43.4,16.1,1303,1045,54
SBBG164504,1961,36.1015,-120.311,-9999,16.8,26.9,7.6,19.3,173,11,154.7,2471.6,26,4354,1428,989,326,70,329,259,1,-13.6,44.2,16.6,1483,1311,52
SBBG164514,1973,35.4585,-120.3335,-9999,14.7,22.8,7.7,15.1,394,22,62.5,1039.9,29,3563,1726,488,296,106,308,202,2,-17,44.5,-9999,1482,1156,46
SBBG164528,1940,36.0942,-120.4711,488,15.4,24.9,7.4,17.4,279,15,91,1635.3,30,3835,1659,686,305,96,317,221,2,-16.2,43,-9999,1446,1182,49
SBBG164526,1965,34.465,-119.65,-9999,14.9,20.5,10.7,9.7,561,16,44.4,1252.6,15,3582,1467,301,351,34,352,318,1,-6.2,40.8,-9999,1205,846,61
SBBG164517,1962,35.5935,-120.152,602,15.7,24.7,8.1,16.6,271,16,94.8,1582.4,26,3928,1575,703,326,73,333,260,1,-13.1,43.3,-9999,1391,1131,54
