id,accessURI,thumbnailAccessURI,goodQualityAccessURI,Owner,providerManagedID,associatedSpecimenReference
2261809,https://api.idigbio.org/v2/media/35136360dc835142dace071e14ce081a,https://api.idigbio.org/v2/media/35136360dc835142dace071e14ce081a?size=thumbnail,https://api.idigbio.org/v2/media/35136360dc835142dace071e14ce081a?size=webview,"LOB - California State University, Long Beach Herbarium (LOB)",urn:uuid:407930a7-5d24-4fdf-ae5b-30f05f51f4d1,http://cch2.org/portal/collections/individual/index.php?occid=2261809
2261810,https://api.idigbio.org/v2/media/a3f41a9ef11c2aedb8d0f51de001b573,https://api.idigbio.org/v2/media/a3f41a9ef11c2aedb8d0f51de001b573?size=thumbnail,https://api.idigbio.org/v2/media/a3f41a9ef11c2aedb8d0f51de001b573?size=webview,"LOB - California State University, Long Beach Herbarium (LOB)",urn:uuid:7c27cc30-6981-409a-97b6-f003de33bee5,http://cch2.org/portal/collections/individual/index.php?occid=2261810
2261811,https://api.idigbio.org/v2/media/66a2688c15468070162652794f4caa0d,https://api.idigbio.org/v2/media/66a2688c15468070162652794f4caa0d?size=thumbnail,https://api.idigbio.org/v2/media/66a2688c15468070162652794f4caa0d?size=webview,"LOB - California State University, Long Beach Herbarium (LOB)",urn:uuid:c881ce1e-d2e1-4160-ae51-b18baeea1612,http://cch2.org/portal/collections/individual/index.php?occid=2261811
2261835,https://api.idigbio.org/v2/media/4a90d423f7963b1067ca3b438c05f207,https://api.idigbio.org/v2/media/4a90d423f7963b1067ca3b438c05f207?size=thumbnail,https://api.idigbio.org/v2/media/4a90d423f7963b1067ca3b438c05f207?size=webview,"LOB - California State University, Long Beach Herbarium (LOB)",urn:uuid:22f363a2-aa7b-41ac-a3ec-04c0d637e747,http://cch2.org/portal/collections/individual/index.php?occid=2261835
2273301,http://researcharchive.calacademy.org/image_db/botany/cas0007221.jpg,,http://researcharchive.calacademy.org/image_db/botany/cas0007221.jpg,CAS - California Academy of Sciences (CAS-BOT-BC),urn:uuid:c31ee3b2-b71e-4076-b8d2-fddf8b953995,http://cch2.org/portal/collections/individual/index.php?occid=2273301
2280564,http://researcharchive.calacademy.org/image_db/botany/cas0007216.jpg,,http://researcharchive.calacademy.org/image_db/botany/cas0007216.jpg,CAS - California Academy of Sciences (CAS-BOT-BC),urn:uuid:0bda9550-685c-43ac-9f84-7d71649cb9ed,http://cch2.org/portal/collections/individual/index.php?occid=2280564
2314261,http://researcharchive.calacademy.org/image_db/botany/cas0007217.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007217_1576088670_tn.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007217_1576088670_web.jpg,CAS - California Academy of Sciences (CAS-BOT-BC),urn:uuid:0012d27e-6b27-45b2-a3d2-4b12c297c2bc,http://cch2.org/portal/collections/individual/index.php?occid=2314261
2331142,http://researcharchive.calacademy.org/image_db/botany/cas0007220.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007220_1576092318_tn.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007220_1576092318_web.jpg,CAS - California Academy of Sciences (CAS-BOT-BC),urn:uuid:5c7d6c04-51e3-404f-ae94-c7077fb88a9d,http://cch2.org/portal/collections/individual/index.php?occid=2331142
2359021,http://researcharchive.calacademy.org/image_db/botany/cas0007233.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007233_1576265406_tn.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007233_1576265406_web.jpg,CAS - California Academy of Sciences (CAS-BOT-BC),urn:uuid:482fd760-350b-4948-b4b1-cbf327dda898,http://cch2.org/portal/collections/individual/index.php?occid=2359021
2386904,http://researcharchive.calacademy.org/image_db/botany/cas0007219.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007219_1576089710_tn.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007219_1576089710_web.jpg,CAS - California Academy of Sciences (CAS-BOT-BC),urn:uuid:6a2f191d-0326-43ce-b0a9-041abf61aa2c,http://cch2.org/portal/collections/individual/index.php?occid=2386904
2399229,http://researcharchive.calacademy.org/image_db/botany/cas0007218.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007218_1576093565_tn.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00007/cas0007218_1576093565_web.jpg,CAS - California Academy of Sciences (CAS-BOT-BC),urn:uuid:ffbf9487-2799-46c9-8209-e11d42e31b6c,http://cch2.org/portal/collections/individual/index.php?occid=2399229
2546637,http://researcharchive.calacademy.org/image_db/botany/cas0213909.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00213/cas0213909_1576781630_tn.jpg,http://cch2.org/imglib/cch2/CAS_BOT-BC/00213/cas0213909_1576781630_web.jpg,CAS - California Academy of Sciences (CAS-BOT-BC),urn:uuid:aed2b514-d2a7-446e-9eb3-b0e365f48f8f,http://cch2.org/portal/collections/individual/index.php?occid=2546637
2889635,https://api.idigbio.org/v2/media/66f526b0bd7a782d07ab9dea22a6d3a5,https://api.idigbio.org/v2/media/66f526b0bd7a782d07ab9dea22a6d3a5?size=thumbnail,https://api.idigbio.org/v2/media/66f526b0bd7a782d07ab9dea22a6d3a5?size=webview,SDSU - San Diego State University Herbarium (SDSU),urn:uuid:375b6483-49f2-46c9-91e0-67476c277052,http://cch2.org/portal/collections/individual/index.php?occid=2889635
3137227,https://api.idigbio.org/v2/media/db2754f3cc55355ed955e01d446f422a,https://api.idigbio.org/v2/media/db2754f3cc55355ed955e01d446f422a?size=thumbnail,https://api.idigbio.org/v2/media/db2754f3cc55355ed955e01d446f422a?size=webview,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)",urn:uuid:6ff05a1a-4969-4eea-b872-6ea799a15601,http://cch2.org/portal/collections/individual/index.php?occid=3137227
3142704,https://api.idigbio.org/v2/media/ad1652d91ad17c07de92016859d92dcc,https://api.idigbio.org/v2/media/ad1652d91ad17c07de92016859d92dcc?size=thumbnail,https://api.idigbio.org/v2/media/ad1652d91ad17c07de92016859d92dcc?size=webview,CSUSB - California State University San Bernardino (CSUSB),urn:uuid:e6b0ee2e-b9e6-4c9a-99ef-27e30cf3942f,http://cch2.org/portal/collections/individual/index.php?occid=3142704
3143333,https://api.idigbio.org/v2/media/6d007c96d01dd3cddc8aede484807492,https://api.idigbio.org/v2/media/6d007c96d01dd3cddc8aede484807492?size=thumbnail,https://api.idigbio.org/v2/media/6d007c96d01dd3cddc8aede484807492?size=webview,"UCR - University of California, Riverside Herbarium - Vascular Plants (UCR)",urn:uuid:fe1c6e59-70f6-42c6-926f-3260aa42912b,http://cch2.org/portal/collections/individual/index.php?occid=3143333
3146662,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/9e75eea2-076b-438e-ba32/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC767/content_1561497244_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC767/content_1561497244_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:e488dbab-04f0-419f-9129-bc59557365fd,http://cch2.org/portal/collections/individual/index.php?occid=3146662
3146786,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/6a5c5220-bab9-48ea-b332/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1560979478_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1560979478_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:2b5177d4-777d-41ea-bccd-fefad7ebfaf4,http://cch2.org/portal/collections/individual/index.php?occid=3146786
3146789,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/2b60bdcc-0378-4650-81b4/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1561408795_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1561408795_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:f7e36686-f384-4530-8886-082d750c85e5,http://cch2.org/portal/collections/individual/index.php?occid=3146789
3146854,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/7efe32ef-9f6d-4623-8bf2/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1784/content_1560448083_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1784/content_1560448083_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:b5d7301a-4ed5-4651-80a8-4ce79ede9003,http://cch2.org/portal/collections/individual/index.php?occid=3146854
3146870,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/344a80d2-2c35-42d7-a879/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1560270164_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1560270164_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:bd89ccde-8a3c-4cca-84bf-6984ee49e788,http://cch2.org/portal/collections/individual/index.php?occid=3146870
3146931,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/54de0ecf-2598-4e17-989c/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC64/content_1560365166_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC64/content_1560365166_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:9cd1085a-9838-4c85-bc51-8139c926db39,http://cch2.org/portal/collections/individual/index.php?occid=3146931
3147306,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/49037daa-acc2-4d66-850c/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1019/content_1560460007_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1019/content_1560460007_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:c210c8b6-f859-47db-8b5e-bbec7c6cc3f8,http://cch2.org/portal/collections/individual/index.php?occid=3147306
3147315,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/b8d3b033-d617-4506-afe2/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1561012324_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC1069/content_1561012324_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:96e55a94-6cf3-416e-91d3-af0808c54d51,http://cch2.org/portal/collections/individual/index.php?occid=3147315
3147427,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/027ec4da-8839-4c9e-aed6/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1560991911_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1560991911_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:1a91f08e-717e-4949-8d10-7e4bfbbfc841,http://cch2.org/portal/collections/individual/index.php?occid=3147427
3147457,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/6a8ab022-07d0-4b33-a418/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC535/content_1560228842_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC535/content_1560228842_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:c6f54d1b-73e1-4994-8641-e7c07e4a7776,http://cch2.org/portal/collections/individual/index.php?occid=3147457
3147767,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/b7a1e97b-8522-47a3-a901/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1561100047_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC24/content_1561100047_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:90bdb4dc-7580-4776-8d90-0cc8c4b8ea77,http://cch2.org/portal/collections/individual/index.php?occid=3147767
3147768,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/f0498ed8-f79d-427a-88e1/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC562/content_1561152635_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC562/content_1561152635_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:220d0952-8d2a-435a-97b1-631d44c514f9,http://cch2.org/portal/collections/individual/index.php?occid=3147768
3147998,https://webapps.cspace.berkeley.edu/ucjeps/imageserver/blobs/86bc18f2-6db5-40cc-a6b1/derivatives/OriginalJpeg/content,http://cch2.org/imglib/cch2/UCJEPS/UC284/content_1560999640_tn.jpg,http://cch2.org/imglib/cch2/UCJEPS/UC284/content_1560999640_web.jpg,"UCJEPS - University and Jepson Herbaria, University of California, Berkeley (UCJEPS)",urn:uuid:e4c73bb3-1c6c-4695-9967-16e9689c389e,http://cch2.org/portal/collections/individual/index.php?occid=3147998
