ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
RSA749469,1999,33.7297,-117.6575,347,16.9,23.4,12.2,11.1,384,21,70,1118.3,9,4293,1076,633,360,16,361,345,0,-3.9,43.5,-9999,1345,1014,59
RSA233474,1969,34.1632,-117.6823,774,16.1,23.6,10.2,13.4,582,34,44.8,702.5,16,4026,1365,633,345,50,349,299,1,-8.6,42.8,17.9,1337,927,57
UC606903,1938,38.3425,-122.1996,446,14.9,22.6,7.5,15.1,733,26,33.9,869.1,30,3639,1673,521,341,52,343,291,5,-10.2,41.4,16,1234,896,59
GMDRC4298,2010,34.7845,-115.6598,1334,16.3,27.8,6.7,21.1,176,63,149,443.7,36,4212,1662,1034,329,68,332,264,1,-12.7,42.1,-9999,1271,1096,63
GMDRC7692,2015,34.7848,-115.664,1390,16.1,27.7,6.6,21,180,64,144.9,430.2,37,4168,1686,1011,329,68,332,264,1,-12.7,41.8,-9999,1251,1071,64
GMDRC9674,2017,34.8056,-115.6714,1356,16.2,27.8,6.7,21.1,179,64,146.4,437.2,36,4203,1666,1029,329,68,332,264,1,-12.7,42,-9999,1267,1087,63
GMDRC9754,2017,34.8094,-115.6556,1297,16.3,27.9,6.7,21.2,175,62,150.7,451.1,35,4231,1650,1043,328,69,331,262,1,-12.9,42.3,-9999,1290,1115,62
GMDRC995,2001,34.8192,-115.6475,1270,16.3,27.9,6.7,21.2,173,61,152.1,454.6,36,4225,1655,1040,327,70,331,260,1,-13.1,42.3,-9999,1301,1128,62
GMDRC3694,2005,34.8081,-115.6695,1305,16.4,28,6.8,21.2,176,62,150.2,451.1,35,4249,1639,1054,329,68,332,264,1,-12.7,42.3,-9999,1287,1111,62
GMDRC7800,2015,34.7814,-115.6522,1347,16.2,27.8,6.7,21.1,175,63,150.1,444.5,36,4204,1667,1030,329,68,332,264,1,-12.8,42,-9999,1269,1093,63
UC606908,1938,35.6416,-120.7016,263,15.1,22.2,8.3,13.9,360,14,69.7,1636.3,24,3696,1568,484,310,93,317,224,2,-15.2,44.2,-9999,1471,1166,47
HSC97503,2007,40.8341,-123.7133,1418,10,18.8,3,15.8,2790,268,7.2,70.1,122,2182,3072,154,261,136,309,173,162,-19.9,38.1,16.9,918,366,64
JROH5546,2013,37.4011,-122.2307,132,14.7,19.8,9.7,10,640,24,38.6,840.3,18,3514,1529,307,347,46,346,300,2,-7.2,40.4,-9999,1212,850,58
HSC77392,1983,40.8957,-123.7732,762,12,19.9,5.2,14.7,2093,184,10.5,108,61,2690,2455,243,293,117,316,199,40,-16.5,40.8,-9999,1063,536,58
HSC97903,1995,40.7689,-123.5508,372,13.2,22.2,5.3,17,1225,86,18.9,257.7,54,3125,2179,418,293,117,310,192,20,-16.6,43.6,-9999,1249,817,52
HSC13590,1948,40.8743,-123.733,1435,10.3,19.3,3.1,16.1,2769,263,7.3,73.3,115,2278,2988,184,272,130,312,182,146,-18.7,38.7,15,931,384,64
UC595056,1938,39.1831,-122.7026,734,14.2,23.8,6.4,17.4,989,42,24.5,570.9,43,3450,1974,578,317,88,329,241,12,-13.6,41.6,-9999,1177,807,59
UC1069197,1934,37.9965,-123.0162,32,11.9,13.4,9.2,4.2,702,31,31.2,434.8,21,2450,2276,28,354,18,352,334,3,-6.2,31.1,-9999,752,412,75
RSA421268,1949,34.1602,-117.797,888,16.2,23.8,10.4,13.3,582,35,45,675.2,15,4076,1331,650,353,31,357,326,1,-6.4,42.5,-9999,1284,885,61
JEPS111846,2005,37.9842,-122.2028,234,14.3,19.9,7.9,12,553,20,43.8,997.1,26,3378,1699,312,343,46,344,298,3,-10,39.7,15.1,1136,811,62
UC1426018,1973,34.1661,-117.6836,774,16,23.6,10.1,13.5,586,34,44.4,697.6,16,4002,1380,628,343,53,347,294,1,-9,42.8,-9999,1337,925,57
RSA421309,1973,34.1661,-117.6836,774,16,23.6,10.1,13.5,586,34,44.4,697.6,16,4002,1380,628,343,53,347,294,1,-9,42.8,-9999,1337,925,57
RSA589117,1992,34.429,-117.8374,1351,13.6,24,5.4,18.6,283,34,83.4,710.7,55,3313,2159,559,281,117,311,194,5,-18.8,41.6,17.1,1329,1066,54
RSA114997,1955,40.9229,-123.8067,584,12.4,19.7,6.1,13.6,1837,155,12.2,127.4,48,2806,2278,236,308,104,321,218,24,-14.6,41,-9999,1082,575,58
RSA597259,1968,34.2034,-117.487,1376,13.7,22.6,6.8,15.9,922,57,25.7,398.4,41,3265,2039,444,313,95,328,233,10,-14,40.2,17.9,1207,796,60
RSA668058,1957,33.3128,-116.8643,1610,13.7,23.1,6.4,16.7,640,65,37.1,356.7,44,3305,2063,494,310,97,325,228,7,-14.7,40.6,22,1226,815,60
HSC35261,1975,40.8474,-123.4762,491,12.9,22.1,4.8,17.3,1185,89,19.3,249.2,61,3042,2266,400,287,121,308,187,23,-17.4,43.2,-9999,1228,794,52
JEPS3117,1915,38.0778,-120.3673,817,14.2,24,6.1,17.8,833,55,29,432.9,44,3455,1989,584,298,104,314,211,10,-16.6,44.3,-9999,1288,874,53
RSA191996,1959,33.5068,-117.3643,605,16.7,24,12,12,393,27,68.1,904.8,10,4239,1154,656,362,8,365,357,1,-2.9,42.6,-9999,1222,907,65
RSA489150,1988,34.1477,-116.4187,1145,15.8,26.3,7.5,18.8,185,40,139.8,664.6,30,4025,1639,843,313,88,324,236,1,-15.2,42.6,20.1,1421,1236,54
RSA180273,1965,33.5051,-117.2834,613,16.8,23.9,12.1,11.8,372,25,72.2,969.5,10,4280,1126,667,361,11,364,352,0,-2.7,43.7,-9999,1314,1004,61
SBBG125441,2010,34.2795,-118.027,1398,13.8,23.4,6.7,16.7,826,40,28.8,577.5,42,3336,2034,511,325,80,335,255,10,-12.3,40,17.8,1119,746,66
SBBG127047,2011,34.2785,-118.072,1641,13.2,22.6,6,16.6,812,38,28.5,602,51,3124,2205,429,326,74,336,262,13,-12,38.7,16.5,1020,678,70
CHSC27746,1978,37.7078,-120.2008,530,15.3,25.4,6.7,18.7,625,33,40.4,759.8,35,3817,1754,742,312,90,321,232,5,-15.1,44.7,-9999,1362,983,53
CHSC31076,1980,38.3633,-122.5603,174,14.5,20.7,8.1,12.6,977,36,25.1,581.6,25,3476,1664,377,337,62,340,278,5,-10.2,41.2,-9999,1240,841,56
CHSC4019,1967,39.7292,-121.7028,123,16.5,26.3,7.2,19.2,724,45,36.6,580.8,28,4221,1488,918,337,56,338,282,5,-11.9,43.6,-9999,1318,947,57
CHSC52497,1982,36.3664,-121.5442,730,13.9,21.3,8.8,12.5,652,25,36.6,835,27,3264,1848,330,328,83,335,251,4,-10.3,39.2,16,1196,838,58
CHSC57470,1990,38.5433,-123.2928,24,12,14.5,8.8,5.7,847,45,26,324.5,24,2519,2247,40,341,50,338,287,4,-9.2,33.6,-9999,892,496,67
CHSC59744,1979,37.8144,-120.3117,362,15.4,25.5,7.1,18.4,594,35,42.8,731.5,32,3865,1696,747,316,86,324,237,4,-14.5,43.9,-9999,1352,975,53
CHSC62467,1991,39.5467,-121.3878,331,15.6,25.6,6.8,18.8,1076,67,23.8,382.7,33,3917,1672,777,328,70,332,262,9,-13.4,43.3,-9999,1277,841,57
CHSC70018,1996,36.9081,-119.3067,473,15.8,26.6,6.9,19.7,547,31,47.2,854.1,33,4024,1664,867,320,81,326,245,4,-14.4,43.9,17.4,1370,1011,55
HSC32387,1974,41.2795,-124.0082,463,11.9,16.4,7.4,9,2163,212,10.1,77.5,35,2546,2321,84,323,84,327,243,18,-12.6,35.5,-9999,925,368,63
RSA587321,1995,33.3966,-116.973,1225,15.1,23.8,8.3,15.5,462,47,54.3,508.9,27,3736,1687,618,326,82,335,253,2,-12.3,42.7,-9999,1355,980,56
SD11309,1935,32.9594,-116.5797,1494,11.9,21.2,4.7,16.5,740,76,29.7,280.2,69,2748,2517,301,269,128,303,174,17,-19.6,40,-9999,1229,780,56
SD215561,1997,33.3503,-117.0328,198,17.2,24.2,12.1,12.1,367,22,74.2,1081.3,10,4412,1058,732,350,35,352,317,0,-7.1,45.5,-9999,1468,1121,53
SD115641,1983,32.6306,-116.0937,1130,14.7,23.9,7.6,16.3,407,50,60.6,475.2,32,3601,1809,585,297,109,315,206,3,-15.6,43.3,-9999,1473,1096,49
SD133999,1991,33.3314,-116.7125,932,14.4,23.4,7.3,16.1,408,55,59.7,427.2,33,3502,1862,536,282,120,311,190,3,-18.3,43.6,17.5,1482,1108,47
HSC89473,1986,41.0542,-124.1519,14,11.1,13.9,8.1,5.8,1200,116,17.6,120.4,31,2211,2547,28,341,48,335,287,9,-9.5,31.7,-9999,719,298,74
UC1239737,1938,40.8343,-123.7133,1418,10,18.8,3,15.8,2790,268,7.2,70.1,122,2182,3072,155,261,136,309,173,162,-19.9,38.1,-9999,918,366,64
HSC13581,1962,41.0406,-124.1148,63,11.2,14.4,7.8,6.5,1273,121,16.6,118.4,33,2251,2527,34,337,56,332,276,10,-10.3,32.2,-9999,754,321,72
UC1282735,1952,38.7123,-122.4785,278,15,24.2,7.1,17.1,886,28,28.3,869.3,33,3718,1728,638,320,84,326,242,8,-13.5,43.4,-9999,1321,945,54
UC579895,1934,38.2919,-122.968,135,12.8,15.8,8.3,7.6,968,38,23.6,417.4,24,2819,2015,81,336,63,334,271,5,-10.8,35.4,-9999,1023,611,62
HSC32847,1973,39.6114,-123.1794,730,13.5,22.6,6,16.6,1181,63,19.9,360.4,49,3226,2111,469,306,103,324,221,17,-14.7,41.9,-9999,1201,784,56
JEPS1791,1934,40.3077,-123.9767,914,13.1,19.8,7.2,12.7,1621,129,14.2,154.4,35,2989,2066,255,329,80,334,254,14,-11.3,40.3,-9999,1080,594,61
CSUSB122,1966,33.9407,-117.3565,370,17.4,25,11.2,13.8,247,20,110.8,1233.1,11,4489,1086,831,346,43,346,303,0,-8.6,45.7,16.8,1514,1267,51
RSA662611,1994,34.1657,-117.7691,584,16.8,24,11.4,12.6,523,31,51.2,772.2,11,4269,1169,701,352,36,355,319,1,-6.8,43.4,16.5,1367,958,57
RSA771945,1973,34.4574,-117.8141,1210,14.4,24.8,5.9,18.9,216,30,112.9,840.1,46,3561,1976,659,287,111,314,203,3,-18.3,42.5,17.4,1396,1181,52
SDSU6137,1952,34.2915,-117.8404,1070,14.4,23.5,7.5,16,755,42,32.3,565.2,33,3510,1853,538,321,86,333,247,6,-12.9,40.9,-9999,1247,844,59
RSA29712,1932,34.2142,-117.6672,1144,13.9,22.8,7.2,15.6,715,42,33.5,541.6,36,3340,1960,461,308,101,325,224,6,-14.7,40.6,-9999,1248,843,57
RSA346567,1971,34.1764,-117.7542,614,16.6,23.9,11.1,12.9,545,32,48.8,747.2,13,4192,1230,683,348,43,352,309,1,-7.7,43.6,16.1,1366,952,56
RSA381419,1971,36.9062,-119.2686,304,16.2,27.1,7,20.1,501,28,52.3,951.5,31,4166,1590,943,323,78,328,250,4,-13.9,44.5,-9999,1412,1067,54
RSA607025,1968,34.2843,-117.8647,1274,14.3,23.3,7.5,15.8,763,44,31.8,528.8,33,3464,1877,513,329,74,338,265,6,-11.7,40.3,18,1188,799,63
SBBG108619,1967,35.1951,-118.5348,1042,13.5,23.9,5.3,18.6,251,22,93.6,1066.7,56,3264,2172,524,292,106,314,208,4,-17.8,40.5,17.5,1243,1001,57
OBI28779,1981,35.4598,-120.3339,424,14.7,22.8,7.7,15.1,394,22,62.7,1049.6,29,3568,1721,489,296,106,309,203,2,-17,44.5,-9999,1483,1157,46
UC1190350,1958,37.9129,-120.2832,702,14.6,24.5,6.5,18,757,44,32.5,552.3,38,3602,1870,636,310,93,320,228,7,-15.5,43.7,-9999,1288,890,55
UC1057474,1940,38.5404,-122.7734,67,14.1,19.3,8.1,11.2,899,32,26.8,595.8,25,3310,1720,271,329,73,329,256,5,-11.9,40.3,-9999,1221,825,55
JEPS1803,1941,34.77,-115.683,1330,16.4,28,6.8,21.2,171,61,154.4,455.2,35,4246,1643,1054,329,68,332,264,1,-12.7,42.2,20.9,1286,1115,63
POM97174,1925,35.1019,-118.2843,1199,14.1,24.9,5.6,19.3,257,19,93.6,1308.3,52,3473,2072,645,306,96,323,227,4,-15.5,41,-9999,1218,992,61
RSA421327,1925,34.1352,-118.4386,346,17.7,23.7,12.9,10.8,436,17,63.6,1427.1,7,4582,891,746,364,2,365,362,0,-1.5,43.8,15.8,1344,1000,60
RSA524475,1990,33.5,-116.9667,491,17.3,25.5,10.7,14.8,351,28,77.6,905.7,14,4459,1179,878,333,63,339,276,1,-11.2,46.3,-9999,1609,1276,47
RSA554391,1992,34.3,-117.2167,1493,12.2,21.9,4.8,17.1,485,53,45.9,411.3,69,2860,2447,344,277,123,310,187,11,-18.6,39.1,18.2,1195,843,58
UCSB5326,1960,34.5334,-119.061,1294,13,21.8,6,15.8,594,24,38.6,925.7,50,3045,2216,372,300,102,319,217,9,-16.2,41.2,-9999,1178,844,60
CSUSB2020,1979,34.2478,-117.2645,1384,12.5,22.3,5,17.4,701,62,32.1,358.6,65,2948,2385,382,278,121,310,189,15,-18.7,39.4,-9999,1206,809,57
RSA607224,1968,34.3006,-117.9799,1259,14,23.5,6.7,16.9,791,38,30.3,620.2,41,3376,2007,528,312,97,328,230,9,-14.2,40.9,-9999,1213,822,60
RSA735439,2008,34.289,-117.2059,1471,12,21.6,4.5,17.1,521,56,42.2,389.1,75,2777,2526,321,268,128,307,178,14,-19.6,38.9,19,1193,828,57
RSA250674,1971,34.1346,-117.7312,533,16.7,23.7,11.2,12.5,472,25,56.7,938.6,12,4242,1172,679,351,36,352,316,1,-7.4,43.2,-9999,1392,1013,56
RSA588054,1994,34.4662,-118.0305,1145,14.5,24.5,6.4,18.1,243,21,100.6,1148.1,41,3560,1926,629,301,101,321,220,3,-16.5,42,-9999,1327,1091,55
UC666593,1942,33.3436,-116.8804,1579,13.6,23.2,6.2,16.9,616,65,38.3,358.8,47,3274,2110,501,306,101,324,223,8,-15,40.3,19.6,1202,797,61
