replicate,predictor,param_est,param_se,ci_.025,ci_.975,est_pval,adj.R2,param_vifs,sim_dist
1,MAT_100Y,-5.3953778382810365,1.5009210483752737,-8.341994491622119,-2.4487611849399538,3.464991424298939e-4,0.27806729351173387,2.5541147803201176,2km
1,MAP_100Y,8.42013904064439,1.5121777966513783,5.451423075704777,11.388855005584002,3.613351198507228e-8,0.27806729351173387,2.592569623770953,2km
1,MAT_A,-2.505068126352898,0.9479266338632115,-4.366043031402347,-0.6440932213034491,0.008400828531381493,0.27806729351173387,1.0187653509086196,2km
1,MAP_A,1.667907036603189,0.9486540633644641,-0.19449596213902454,3.530310035345402,0.07913376517557257,0.27806729351173387,1.0203295317077115,2km
1,elev_m_n,7.571033334365046,1.642639438736515,4.346194339099209,10.795872329630882,4.770650530619295e-6,0.27806729351173387,3.0592094047497542,2km
1,lat,-2.1096925891374267,2.7266954503535454,-7.462756450356765,3.2433712720819114,0.4393471947742742,0.27806729351173387,8.429425588038768,2km
1,long,5.943317193774158,3.1338492414445276,-0.20907328265810676,12.095707670206423,0.05828806277391363,0.27806729351173387,11.134761386276857,2km
2,MAT_100Y,-5.687089161323001,1.4806506061688531,-8.593910768388543,-2.7802675542574584,1.3317069263453903e-4,0.27992949409642287,2.4927799423579344,2km
2,MAP_100Y,8.119757459610716,1.5115213378411938,5.15233025830355,11.087184660917881,1.0472453082385864e-7,0.27992949409642287,2.5978096685713514,2km
2,MAT_A,-2.8120150052755735,0.9455764353326592,-4.668375987336681,-0.9556540232144655,0.0030372631219863578,0.27992949409642287,1.0166513584710677,2km
2,MAP_A,1.5393181227579449,0.9448615434075348,-0.3156393794504482,3.3942756249663377,0.10371160930529069,0.27992949409642287,1.0151146850156634,2km
2,elev_m_n,7.355448525719523,1.6346031044516494,4.146386507171572,10.564510544267474,7.90660171922078e-6,0.27992949409642287,3.0381093608273795,2km
2,lat,-1.7480460189173037,2.7139138070091176,-7.07601688595382,3.5799248481192123,0.5197087040650321,0.27992949409642287,8.374730977039883,2km
2,long,6.3286071007955345,3.110144692964737,0.222753527410962,12.434460674180107,0.04222762799106895,0.27992949409642287,10.998664440210936,2km
