specimen_number,long_n5k,lat_n5k,replicate,elev_m_n
RSA0070947,-118.249422529547,34.3302068874416,rep1,873.59
RSA101759,-118.749754198383,36.1484586813966,rep1,541.04
RSA113487,-121.500111580021,36.264941847587,rep1,1113.73
RSA114997,-123.801138867504,40.9292178519986,rep1,710.51
RSA120045,-122.164899925016,37.3225866178332,rep1,751.09
RSA12318,-117.200662503344,33.2654115534815,rep1,166.2
RSA124603,-120.121411591936,36.6392616907412,rep1,57.16
RSA12926,-117.421886364438,33.5711977707469,rep1,830.26
RSA15266,-122.239603113434,37.4070095832262,rep1,98.94
RSA156323,-118.072818620434,34.1695270612039,rep1,340.09
RSA15640,-120.636848179987,36.4468367577792,rep1,732.94
RSA180273,-117.306747744915,33.4955569736707,rep1,450.43
RSA182182,-117.691284309876,34.1691815325418,rep1,857.57
RSA191096,-118.024282086904,34.1958385438127,rep1,683.46
RSA191996,-117.3643,33.5467501606261,rep1,492.5
RSA191997,-117.342754474163,33.4940785956215,rep1,809
RSA195363,-122.446514034887,38.7191886373354,rep1,424.4
RSA222969,-117.567510592849,34.1786641128625,rep1,925.54
RSA225716,-117.932213487296,34.1959016934531,rep1,623.57
RSA226234,-117.845201368019,34.1590238868054,rep1,486.77
RSA233474,-117.698827715991,34.174322895092,rep1,991.84
RSA247113,-118.003123011221,34.196122168088,rep1,1142.33
RSA250674,-117.74942337611,34.1093840907745,rep1,357.46
RSA252917,-117.762722420099,34.455148637223,rep1,1270.18
RSA274234,-117.807413171612,36.0785226518282,rep1,1510.32
RSA276027,-117.826125307494,34.1865413435266,rep1,875.78
RSA29514,-119.426716126314,34.9855987460641,rep1,769.27
RSA29712,-117.670469623074,34.2063732496662,rep1,1102.53
RSA305715,-118.425464719835,33.385734383209,rep1,345.84
RSA309677,-117.326033160939,34.2544239397521,rep1,1541.24
RSA3166,-117.712730345834,33.8108137782558,rep1,402.93
RSA31814,-119.298334181375,34.3794380947206,rep1,134.56
RSA329566,-116.978805621799,33.550950267659,rep1,638.72
RSA333764,-117.228455891807,34.3534985526641,rep1,975.89
RSA336454,-117.187229173691,34.1823487985495,rep1,783.04
RSA346564,-117.453598467072,34.204345088876,rep1,733.65
RSA346567,-117.769123977486,34.2086624178494,rep1,927.37
RSA359870,-117.33780290955,33.8151821981833,rep1,644.44
RSA381419,-119.280730426717,36.9016992973116,rep1,306.22
RSA40756,-122.572372,39.6499783184836,rep1,317.25
RSA421268,-117.788848787622,34.1615032936121,rep1,698.26
RSA421285,-118.833299246622,35.670934435202,rep1,706.17
RSA421297,-118.046278672324,34.1985536683449,rep1,1044.59
RSA421299,-118.497189133407,34.7258693934409,rep1,976.12
RSA421307,-118.564225957625,34.3055523911281,rep1,718.99
RSA421308,-118.295674331983,33.9882567436582,rep1,43.73
RSA421311,-117.741711724345,34.0913327874204,rep1,326.75
RSA421316,-118.279550440602,34.1879108245866,rep1,301.55
RSA421327,-118.47183966853,34.1426229601175,rep1,265.2
RSA421331,-117.369515448759,33.7007147066318,rep1,399.87
RSA421360,-117.391748524277,34.3380998572924,rep1,1177.2
RSA421361,-117.477043203074,34.3287209415986,rep1,1052.07
RSA421366,-117.313428439021,34.2048661117245,rep1,902.28
RSA421368,-116.88845917958,33.427860170193,rep1,796.1
RSA421370,-116.607852260052,33.2175209645798,rep1,1075.07
RSA421373,-119.259084598145,34.5003700169167,rep1,955.69
RSA421376,-122.608609683154,37.9401132405668,rep1,420.34
RSA421377,-118.198616466683,34.3186987207443,rep1,1261.87
RSA421482,-117.142470657624,34.1852370707783,rep1,1168.91
RSA421484,-118.232738158371,34.4133655710591,rep1,866.66
RSA421485,-117.241813413081,34.297305869772,rep1,1214.71
RSA421496,-117.663762623476,34.3361787305569,rep1,2142
RSA421498,-116.455946217528,32.8735427155794,rep1,1662.59
RSA43793,-116.90254682333,33.3402699163615,rep1,1428.15
RSA44096,-119.363601374966,34.495802628385,rep1,634.61
RSA483609,-116.718102373741,33.6390849229697,rep1,1578.83
RSA489150,-116.376784965237,34.1583458226929,rep1,1011.62
RSA51250,-122.4427642727,37.7168519087022,rep1,62.5
RSA518016,-117.667467368644,34.4966095514315,rep1,1040.64
RSA522735,-117.030469614807,33.485159624873,rep1,382.89
RSA523514,-116.904825669933,33.544245466781,rep1,649.72
RSA524475,-116.987268890994,33.4645952618178,rep1,523.45
RSA554391,-117.263159006625,34.3117857133139,rep1,1022.56
RSA575409,-117.500799397609,34.2060012972472,rep1,1572
RSA584043,-117.715750599979,34.2042917623461,rep1,1166.09
RSA587321,-116.970656943373,33.4012298325679,rep1,1183.47
RSA588054,-118.078259788857,34.4468932389331,rep1,1357.96
RSA588711,-117.476674769682,33.6694298924168,rep1,1204.32
RSA588783,-117.451529893306,33.6271935832383,rep1,811.87
RSA589117,-117.854093257405,34.4428287567689,rep1,1142.59
RSA59320,-119.420778970071,34.9652634232828,rep1,950.22
RSA597259,-117.515849098707,34.2208079046668,rep1,1592.57
RSA597821,-118.061215687185,34.4994124660777,rep1,1095.35
RSA598950,-117.85581596058,34.1334598961762,rep1,246.27
RSA603648,-121.94211,36.4956968720449,rep1,0
RSA605958,-120.291260492157,35.7346169624674,rep1,348.55
RSA606291,-117.04270508523,33.6577542731922,rep1,637.04
RSA607025,-117.905919624088,34.2594588829215,rep1,694.66
RSA607224,-117.964776721105,34.3114777756518,rep1,1690.95
RSA608053,-121.526541163068,36.9258529291756,rep1,42.34
RSA608634,-117.794202274352,34.0932911060686,rep1,294.01
RSA613142,-117.067518087701,33.4520249918167,rep1,407.21
RSA615,-117.702904398349,33.8774666431695,rep1,121.84
