specimen_number,long_n15k,lat_n15k,replicate,elev_m_n
AHUC100004,-119.956836828337,37.4664327890795,rep1,639.86
AHUC100005,-120.070729,37.3887699209411,rep1,348.7
AHUC100006,-120.443550536339,38.0797463557931,rep1,636.24
AHUC100007,-119.390436646171,36.66641225451,rep1,124.09
AHUC100008,-123.18280800663,38.9827125703239,rep1,401.58
AHUC100009,-123.768545174936,39.4919039441543,rep1,73.64
AHUC100010,-119.365153261926,36.7823264295185,rep1,296.78
CAS-BOT-BC95004,-121.206693526495,36.0928597295744,rep1,655.92
CDA40358,-119.329223685586,36.8615845012042,rep1,360.75
CHSC14017,-122.288144252461,38.9881165123174,rep1,391.46
CHSC23125,-123.155177245087,38.0149733346869,rep1,-1000000
CHSC24140,-122.934563622874,38.8857281996161,rep1,689.22
CHSC24930,-124.18747897732,41.8170691641835,rep1,2.23
CHSC26054,-117.011027723147,34.0227473352954,rep1,938.7
CHSC26430,-123.88175962231,41.7281957197361,rep1,454.85
CHSC27517,-122.805215243744,38.9803483175789,rep1,551.03
CHSC27541,-122.807504092323,39.0273156758354,rep1,403.74
CHSC27746,-120.239989001679,37.6851628871582,rep1,322.85
CHSC27799,-122.834804047287,38.9042167639923,rep1,598.45
CHSC31076,-122.548167576406,38.3142456451058,rep1,403.85
CHSC31077,-121.400275169184,39.6045003796654,rep1,613.43
CHSC31306,-123.419794361378,39.7598983024511,rep1,540.08
CHSC32094,-121.308509903091,39.5036576790715,rep1,982.24
CHSC35982,-122.063165858462,39.9448239434187,rep1,63.52
CHSC36121,-122.304710597333,38.9497535088558,rep1,628.19
CHSC38460,-121.896955190247,39.8121238651552,rep1,59.24
CHSC40119,-123.372124759217,38.8778004876551,rep1,514.85
CHSC4019,-121.556687789471,39.7792612464742,rep1,547.9
CHSC4065,-122.133463605043,40.068548448776,rep1,69.01
CHSC43315,-121.829718220633,39.2684391743822,rep1,96.19
CHSC47108,-120.477645368935,36.0973249746001,rep1,564.68
CHSC52401,-122.772090760126,38.9100787065609,rep1,734.08
CHSC55499,-122.080445519505,40.3591924392056,rep1,147.88
CHSC55712,-122.472291444365,39.4942163263624,rep1,375.36
CHSC56643,-122.472831152798,39.7879534205747,rep1,165.85
CHSC57470,-123.367148163367,38.5693046548869,rep1,0
CHSC59547,-122.685271726326,39.1138211026806,rep1,770.85
CHSC59744,-120.277814892652,37.7511167929319,rep1,676.78
CHSC61985,-118.713720383512,34.3834450027652,rep1,334.21
CHSC62467,-121.38763601752,39.543519093577,rep1,281.19
CHSC700,-121.210673163831,38.9856773632949,rep1,241.48
CHSC70018,-119.305389343094,36.9164113126647,rep1,470.63
CHSC70378,-121.088366344332,36.9294844627308,rep1,420.53
CHSC71117,-122.757017741054,39.0801434886273,rep1,902.3
CHSC77587,-122.653704742965,39.8488176253913,rep1,345.84
CHSC81274,-123.759791010393,39.5484598046418,rep1,7.52
CHSC88986,-121.917785213788,39.9108236632102,rep1,105.62
CHSC90100,-122.843483711433,38.914578887483,rep1,534.98
CHSC90532,-122.759950765614,39.1235329496842,rep1,987.63
CHSC9270,-122.008212624408,39.9239793092906,rep1,72.36
CSUSB91437,-117.257241191139,34.2539803320961,rep1,1423
CSUSB91439,-116.692224258782,33.0955633609016,rep1,984.24
CSUSB91441,-117.482201849915,33.7296859642655,rep1,664.11
CSUSB91442,-117.405838838542,33.9656152405911,rep1,245.05
CSUSB91443,-117.385457894446,33.9186541270035,rep1,313
CSUSB91444,-117.125210116687,33.7293079625902,rep1,636.63
DAV300326,-122.728544688959,39.0089429893124,rep1,403.74
DAV300327,-120.720015213242,38.5083293544885,rep1,688.76
DAV300330,-118.174125337172,34.3063468780308,rep1,898.79
DAV300331,-117.437590966456,33.804728790222,rep1,440.71
DAV300333,-119.249621401826,36.8759957745628,rep1,491.68
DAV300334,-120.205614190044,35.3600485370968,rep1,613.14
DAV300336,-120.981743267402,38.9185490170126,rep1,373.09
DAV300337,-120.381873379374,38.5171699437713,rep1,1390.86
DAV300338,-117.72343273041,34.2134758680269,rep1,1194.36
DAV300341,-119.140660519076,36.669275327284,rep1,704.14
DAV300342,-122.893845777115,38.9742429957002,rep1,422.53
DAV300343,-121.711510906823,39.2397438401237,rep1,20.6
DAV300344,-119.831606276493,35.1660442694408,rep1,597.92
DAV300345,-123.044116650148,38.3110285591864,rep1,0.87
