ID1,ID2,lat,long,el
DAV300398,rep1,38.32258057,-120.3982856,1056.32
DAV300399,rep1,38.4568226,-122.5177684,644.53
GH93110,rep1,34.51035103,-116.9672392,868.74
GMDRC3694,rep1,34.81312589,-115.660021,1267.52
GMDRC4298,rep1,34.68682843,-115.668067,736.55
GMDRC7692,rep1,34.86208347,-115.8333703,588.24
GMDRC7800,rep1,34.76835951,-115.6423836,1208.64
GMDRC9674,rep1,34.89238273,-115.5920001,1147.16
GMDRC9754,rep1,34.70754424,-115.4979611,732.27
GMDRC995,rep1,34.82675498,-115.6944515,1435.84
HREC492,rep1,39.07499435,-123.0542049,807.03
HREC495,rep1,39.02038525,-123.0242999,849.82
HSC201461,rep1,40.95043181,-123.684032,566.49
HSC201463,rep1,38.23695105,-120.5560828,646.77
HSC201464,rep1,36.91561202,-119.7044487,127.12
HSC201465,rep1,40.56379927,-123.484648,862.3
HSC201466,rep1,34.60177301,-119.620253,813.81
HSC201467,rep1,35.47572679,-120.6941973,375.87
HSC201469,rep1,40.9220845,-123.6953202,440.97
HSC201470,rep1,40.77276018,-123.4918522,1124.77
HSC201472,rep1,39.53529773,-123.6537374,364.77
HSC201473,rep1,39.10457418,-122.3803107,257.15
HSC201475,rep1,39.17753126,-122.9546442,407.65
HSC201476,rep1,33.6666074,-117.3871386,399.27
HSC201477,rep1,40.87661094,-123.4673763,832.48
HSC201478,rep1,40.96674597,-123.5241968,1256.5
HSC201479,rep1,39.53243398,-123.7801654,0
HSC201481,rep1,38.46267616,-122.9714037,283.29
HSC201482,rep1,38.90327272,-123.1817222,398.6
HSC201484,rep1,40.8909193,-123.7696744,872.46
HSC201485,rep1,41.05491089,-124.1962531,0
HSC201486,rep1,40.89393264,-124.0738538,17.45
HSC201487,rep1,41.33020618,-124.0483358,146.36
HSC201488,rep1,38.975089,-123.2485912,520.44
HSC201489,rep1,41.18686489,-123.9868007,218.33
HSC201492,rep1,40.63023853,-123.605128,981.8
HSC201493,rep1,40.94708216,-123.6885202,693.89
HSC201494,rep1,40.56083852,-123.8082752,1001.47
HSC201495,rep1,40.61464823,-123.7901303,652.27
HSC201497,rep1,40.84400579,-124.0179211,411.37
