id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
3243827,UCJEPS,,,PreservedSpecimen,3ca67f68-fb8f-404c-a198-a62a083083cc,JEPS1894,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. integrifolia",205102,Brand,Nemophila,menziesii,var.,integrifolia,,,,,,,,"Willis L. Jepson",,1537,1901-05-17,1901,5,17,137,152,"May 17 1901-June 1, 1901","county supplied by Wetherwax; date as ""May 17-June 1, 1901; ""Journey of WL Jepson and HM Hall fr Riverside to Santa Rosa Peak...""",,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,"San Diego",,"French Valley Palomar Mtn., French Valley (Palomar Mtn. (note in packet reads ""Smith Mts.""))",,0,,33.36033,-116.88417,"WGS 84",2414,,,,"TOPO/Google Earth (copied from RSA68769)",,"(copied from RSA68769)",,,,,,,,,,"2019-11-26 17:30:41",3ca67f68-fb8f-404c-a198-a62a083083cc,46,urn:uuid:f7b4bd35-7c52-4fbe-b968-6ea540396779,http://cch2.org/portal/collections/individual/index.php?occid=3243827
3244509,UCJEPS,,,PreservedSpecimen,dde8bd05-25c3-4a9b-8c88-a887664b9ef1,UC1057474,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"G. Thomas Robbins",,289,1940-03-21,1940,3,21,81,,"Mar 21 1940",,"open, grassy field",,"corollas white with prominent purple veins",,,,,,Flowering/Fruiting,,,,,,,"United States",California,Sonoma,,"2-3 mi se Windsor (Pleasant Avenue Road and Chalk Hill Road); se of Windsor",,0,,38.540382,-122.77343,NAD27,341,,,,"Terrain Navigator",,,91,,,,,"300 ft",,,,"2012-05-30 21:23:20",dde8bd05-25c3-4a9b-8c88-a887664b9ef1,46,urn:uuid:846fed53-c2a1-4d75-9921-c16d98547300,http://cch2.org/portal/collections/individual/index.php?occid=3244509
3245601,UCJEPS,,,PreservedSpecimen,2f85a283-24d3-45b4-9b5d-8a0854694c3f,UC1223596,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,Hartweg,,1869,,,,,,,,"date ? as ""1869; "" No location information given on label beyond ""California",,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,,,,,0,,,,,,,,,,,,,,,,,,,,,"2012-05-31 07:03:07",2f85a283-24d3-45b4-9b5d-8a0854694c3f,46,urn:uuid:6f413f57-7d85-4945-9342-ef37305847ff,http://cch2.org/portal/collections/individual/index.php?occid=3245601
3246164,UCJEPS,,,PreservedSpecimen,660ee7ad-08c4-4cd8-8923-7d75ba0c0931,UC144182,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"A. A. Heller",,7710,1905-04-18,1905,4,18,108,,"Apr 18 1905",,,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Kern,,"Girard Station",,0,,35.190178,-118.51551,NAD27,1220,,"UCRiverside A",,"Terrain Navigator",,"georef from 2006-2015 archive backup file; Sun Jun 30 15:21:14 2013; (copied from UC130902)",,,,,,,,,,"2012-05-31 14:06:05",660ee7ad-08c4-4cd8-8923-7d75ba0c0931,46,urn:uuid:48a5dbff-5371-4fc0-a08b-39e7a299d88a,http://cch2.org/portal/collections/individual/index.php?occid=3246164
3246403,UCJEPS,,,PreservedSpecimen,73ecdda6-8314-4a46-8081-63b09b4f34b1,UC1537401,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"Gordon H. True, Jr.",,11,1935-02-22,1935,2,22,53,,"Feb 22 1935",,,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Riverside,,"Mockingbird Canyon",,0,,33.8701,-117.3882,WGS84,4300,,,,"GoogleMaps via BerkeleyMapper",,,457,,,,,"1500 ft",,,,"2012-05-31 14:21:58",73ecdda6-8314-4a46-8081-63b09b4f34b1,46,urn:uuid:7ca93986-31d3-4e36-8e14-8063d2fc63e2,http://cch2.org/portal/collections/individual/index.php?occid=3246403
3247160,UCJEPS,,,PreservedSpecimen,f3eef08f-0220-48fa-8088-11c3e4093211,UC184397,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"A. D. E. Elmer",,3519,1902-04-01,1902,4,1,91,120,"April, 1902","date as ""April, 1902",,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Monterey,,"Del Monte",,0,,,,,,,,,,,,,,,,,,,,,"2012-05-31 16:25:11",f3eef08f-0220-48fa-8088-11c3e4093211,46,urn:uuid:e799ae35-ad06-4104-bbe3-55b4bdadf8a0,http://cch2.org/portal/collections/individual/index.php?occid=3247160
3247653,UCJEPS,,,PreservedSpecimen,32f44192-048a-41f2-92e1-247434dce678,UC24235,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"J. Burtt Davy",,1673,1896-03-15,1896,3,15,75,,"Mar 15 1896",,,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Sonoma,,"near Fort Ross; near Fort Ross",,0,,38.51417,-123.2425,,,,,,,,,,,,,,,,,,"2012-05-31 17:20:53",32f44192-048a-41f2-92e1-247434dce678,46,urn:uuid:d1843064-d44e-4246-bba9-58b2df5ec410,http://cch2.org/portal/collections/individual/index.php?occid=3247653
3247802,UCJEPS,,,PreservedSpecimen,393c09c3-d7dd-4327-b189-bb0b3d401182,UC306572,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"A. D. E. Elmer",,4839,1903-04-01,1903,4,1,91,120,"April, 1903","date as ""April, 1903",,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Monterey,,Bardino,,0,,,,,,,,,,,,,,,,,,,,,"2012-05-31 17:39:39",393c09c3-d7dd-4327-b189-bb0b3d401182,46,urn:uuid:0dd6fc82-a668-4dd0-8fea-bdca717c5185,http://cch2.org/portal/collections/individual/index.php?occid=3247802
3248934,UCJEPS,,,PreservedSpecimen,dccd4222-065a-424d-8c64-b311e2db6253,UC606906,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"L. Constance, R. F. Hoover",,2069,1938-04-03,1938,4,3,93,,"Apr 3 1938",,"light sandy soil of cultivated field, Pinus sabiniana-Quercus douglasii belt",,"N. Insignis, but corolla punctate or venose",,,,,,Flowering/Fruiting,,,,,,,"United States",California,"San Benito",,"on Tres Pinos Creek 7 mi nw Llanada (San Carlos Range, Inner South Coast Ranges); Inner South Coast Ranges, San Carlos Range",,0,,36.68138,-121.00466,NAD27,5057,,,,"Terrain Navigator 5.03 1:24000",,,609,,,,,"2000 ft",,,,"2012-05-31 19:43:53",dccd4222-065a-424d-8c64-b311e2db6253,46,urn:uuid:a2c9cc82-3d01-4ca5-8991-bb0ce3ead18f,http://cch2.org/portal/collections/individual/index.php?occid=3248934
3253508,UCJEPS,,,PreservedSpecimen,7f2e7b7c-e936-400f-81e4-07295142cb91,UC1245395,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"Joseph T. Gregory",,156,1932-06-17,1932,6,17,169,,"Jun 17 1932",,shade,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Trinity,,"Three Forks Mad River",,0,,40.1657,-123.226006,NAD27,1204,,,,"Terrain Navigator",,,,,,,,,,,,"2012-05-31 07:15:08",7f2e7b7c-e936-400f-81e4-07295142cb91,46,urn:uuid:4cf0d7fa-6d99-425d-a4ce-c88f6188f21c,http://cch2.org/portal/collections/individual/index.php?occid=3253508
3253946,UCJEPS,,,PreservedSpecimen,b78d8714-f836-487c-9115-063052bd5517,JEPS1885,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. atomaria",205101,"(Fisch. & Mey.) Voss",Nemophila,menziesii,var.,atomaria,,,,,,,,"Mrs. Mary Van E. Ferguson",,205,1919-04-13,1919,4,13,103,,"Apr 13 1919",,,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Napa,,"near Atlas; near Atlas",,0,,,,,,,,,,,,,,,,,,,,,"2012-05-30 14:37:16",b78d8714-f836-487c-9115-063052bd5517,46,urn:uuid:eb7ec36c-85d1-4e2f-a947-046de309659b,http://cch2.org/portal/collections/individual/index.php?occid=3253946
3257807,UCJEPS,,,PreservedSpecimen,8375afbf-f438-4539-a257-e0e6c5cf437f,UC1211139,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"Huron H. Smith",,4866,1912-04-30,1912,4,30,121,,"Apr 30 1912",,creek,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,"Los Angeles",,"Mt. Wilson; creek",,0,,,,,,,,,,,,1219,,,,,"4000 ft",,,,"2012-05-31 07:02:50",8375afbf-f438-4539-a257-e0e6c5cf437f,46,urn:uuid:ced72a65-1a9e-49b3-bfbd-b3bd16cb67ad,http://cch2.org/portal/collections/individual/index.php?occid=3257807
3257905,UCJEPS,,,PreservedSpecimen,89af8326-4b70-46ec-95fb-2b5a85b26fd2,UC1245392,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"Joseph T. Gregory",,260,1933-06-13,1933,6,13,164,,"Jun 13 1933",,"summit of road; open hillside",,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Humboldt,,"summit Bear's-Hoopa Road",,0,,,,,,,,,,,,1066,,,,,"3500 ft",,,,"2012-05-31 07:15:08",89af8326-4b70-46ec-95fb-2b5a85b26fd2,46,urn:uuid:178b02f5-b3ce-4d54-a3f2-523e34528a31,http://cch2.org/portal/collections/individual/index.php?occid=3257905
3257956,UCJEPS,,,PreservedSpecimen,fecbf286-6f10-4d4b-a2df-affb46ad09a4,UC1282735,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"J. R. Sweeney",,745,1952-05-02,1952,5,2,123,,"May 2 1952",,"on 1 yr burn in chaparral on shallow rocky soil; ne facing slope",,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Lake,,"0.4 mi se Black Oak Villa (in Butts Canyon, 1.1 mi from Lake-Napa County Line on Pope Valley Road); se of Black Oak Villa in Butts Canyon",,0,,38.71233,-122.47852,NAD27,254,,,,"Terrain Navigator Pro 1:24,000",,,243,,,,,"800 ft",,,,"2012-05-31 07:24:19",fecbf286-6f10-4d4b-a2df-affb46ad09a4,46,urn:uuid:e8c1e35a-33a0-48c2-886e-9e20bdf52c5a,http://cch2.org/portal/collections/individual/index.php?occid=3257956
3260018,UCJEPS,,,PreservedSpecimen,eccb598a-fc06-4c68-ad6c-5b1b061f1f96,UC310216,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"Philip A. Munz",,10404,1926-05-01,1926,5,1,121,,"May 1 1926",,"dry slope",,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,"San Diego",,"Oak Grove trail to Palomar Mt.; Oak Grove trail to Palomar Mt.",,0,,33.37773,-116.82082,WGS84,3219,,,,"SD_georef (mak)",,(mak),1524,,,,,"5000 ft",,,,"2012-05-31 17:39:40",eccb598a-fc06-4c68-ad6c-5b1b061f1f96,46,urn:uuid:b45da506-92c2-4dd9-bd90-534c856beece,http://cch2.org/portal/collections/individual/index.php?occid=3260018
3260561,UCJEPS,,,PreservedSpecimen,5dbfb1f0-086f-438d-87ef-a85bd7ef7a5f,UC489037,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"C. V. Meyer",,185,1927-06-01,1927,6,1,152,181,"Jun 1927","county supplied by Wetherwax; date as ""6/27",,,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Riverside,,"Saunder's Meadow , Saunder's Meadow (San Jacinto Mts.)",,0,,33.7327,-116.7118,WGS84,300,,,,"GoogleMaps via BerkeleyMapper",,,1676,,,,,"5500 ft",,,,"2012-05-31 18:30:05",5dbfb1f0-086f-438d-87ef-a85bd7ef7a5f,46,urn:uuid:91815d1a-e5c4-4778-ac72-b131042bb293,http://cch2.org/portal/collections/individual/index.php?occid=3260561
3261145,UCJEPS,,,PreservedSpecimen,60da05f5-50fb-4d23-be35-4b5268a48a52,UC592189,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"H. L. Mason",,1287,1925-03-07,1925,3,7,66,,"Mar 7 1925",,"open oak association on upper hills slopes; bluff above stream junction",,,,,,,,Flowering/Fruiting,,,,,,,"United States",California,Alameda,,"bluff above stream junction one-half mi sw Sunol; sw of Sunol",,0,,37.579037,-121.90704,NAD27,2803,,,,"Terrain Navigator 5.03 1:24000",,,,,,,,,,,,"2012-05-31 19:23:27",60da05f5-50fb-4d23-be35-4b5268a48a52,46,urn:uuid:793c9833-a34d-4170-bf5e-1e2c39425bd6,http://cch2.org/portal/collections/individual/index.php?occid=3261145
