coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
388286,"Michael G. Simpson",,4/2/2002,,"Nemophila menziesii var. integrifolia",0,Parish,,,,,"The Jepson Manual, 1996",,urn:uuid:0ba0ec41-a8b6-403d-b6f8-7d23952f0d5e,"2019-04-22 18:22:30"
390085,"Michael G. Simpson",,2019-04-22,,"Nemophila menziesii var. integrifolia",1,Brand,,,,,,,urn:uuid:d7bca6de-3edf-4136-ae99-05f9314ea05f,"2019-04-22 18:16:48"
390085,"Ed Woch",,s.d.,,"Nemophila menziesii var. menziesii",0,"Hook. & Arn",,,,,"The Jepson Manual (Hickman, ed.,1996)",,urn:uuid:a4d30f8d-7677-471c-9bb1-656dc0b82d9b,"2019-04-22 18:16:48"
3671751,"Michael G. Simpson",,2019-08-27,,"Nemophila menziesii var. menziesii",1,,,,,,,,urn:uuid:8197de87-305b-491e-b817-df52d261d53f,"2019-08-27 16:07:21"
3671751,unknown,,s.d.,,"Nemophila menziesii",0,"Hook. & Arnott",,,,,,,urn:uuid:a2fe4cf0-ab02-43f9-961f-d44431f002ee,"2019-08-27 16:07:21"
196188,"original identification",,undetermined,,"Nemophila mentzeii",0,,,,,,,,urn:uuid:b27d6dbb-fc7e-45e3-8f6d-a2f0b4598d37,"2018-09-25 02:45:36"
196199,"original identification",,undetermined,,"Nemophila menziesii",0,,,,,,,,urn:uuid:f18a1333-53a9-4298-96c6-9af04911ab3a,"2018-09-25 02:45:36"
196200,"original identification",,undetermined,,"Nemophila menziesii",0,,,,,,,,urn:uuid:919e535d-90b1-4126-937a-3c6a1fbf7f98,"2018-09-25 02:45:36"
196211,"David J. Keil",,2014,,"Nemophila menziesii var. atomaria",1,"(Fisch. & Mey.) Voss",,,,,,,urn:uuid:38b3e979-5c85-41a3-952d-25a80db972eb,"2019-12-04 13:25:35"
196211,unknown,,s.d.,,"Nemophila atomaria",0,,,,,,,,urn:uuid:671d1d03-dfdc-4fc2-b5b0-a61c230608f1,"2019-12-04 13:25:35"
196211,unknown,,s.d.,,"Pholistoma auritum",0,"(Lindl.) Lilja ex Lindl.",,,,,,,urn:uuid:b2b7e567-f878-436e-b557-188d002657cf,"2019-12-04 13:25:13"
196221,"original identification",,undetermined,,"Nemophila Menziesii",0,,,,,,,,urn:uuid:05fa71d0-67d0-4863-84e8-40b44a2aa02f,"2018-09-25 02:45:36"
196229,"original identification",,undetermined,,"Nemophila menziesii",0,,,,,,,,urn:uuid:220bcc08-8a58-444a-ae10-db3ce373958b,"2018-09-25 02:45:36"
196230,"original identification",,undetermined,,"Nemophila menziesii",0,,,,,,,,urn:uuid:6f1dce29-3fef-4364-bb9b-af5701ad7e0a,"2018-09-25 02:45:36"
196232,"original identification",,undetermined,,"Nemophila menziesii",0,,,,,,,,urn:uuid:eac1750a-f251-40ec-99c8-8744fdb4a971,"2018-09-25 02:45:36"
196293,"original identification",,undetermined,,"Nemphila indignis",0,,,,,,,,urn:uuid:821604d8-dab5-4d27-8a67-cb5849e7385d,"2018-09-25 02:45:36"
1372672,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:617908cc-17ee-4d67-8c48-8331a257a589,"2018-12-21 16:49:08"
1372673,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:dacdf50a-a754-4e5e-b969-6e96e895c992,"2018-12-21 16:49:08"
1372674,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:83b4822c-6d0b-46b9-89f3-c1c09194cda9,"2018-12-21 16:49:08"
1372675,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:ea911839-cd3b-4a78-b153-5c22c912c080,"2018-12-21 16:49:08"
1337092,,,11/12/2009,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:fb6bd540-ef3a-4d90-84ba-73dba522093f,"2018-12-21 16:49:08"
1404681,"E. Dean",,2015,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:8a645a82-35e3-4139-96ec-e569803e36f0,"2018-12-21 16:49:08"
1403922,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey.) Voss",0,,,,,,,"original determination",urn:uuid:d2ae9003-1eb2-47de-910c-4b1f2ef2d925,"2018-12-21 16:49:08"
1403923,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey.) Voss",0,,,,,,,"original determination",urn:uuid:00e5c70d-ca4b-41b5-819b-f0173f80ac49,"2018-12-21 16:49:08"
1399061,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey.) Voss",0,,,,,,,"original determination",urn:uuid:f53615b9-abc1-4a88-9ad2-b5844a94a997,"2018-12-21 16:49:08"
1298980,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:50ee4181-35e0-4a3d-a0c8-217381c864d4,"2018-12-21 16:49:08"
1372966,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:24d190d6-1b19-4eef-8de6-90d30293342b,"2018-12-21 16:49:08"
1372967,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:4802929f-c0c7-4d5f-b3cb-0e1e578e9958,"2018-12-21 16:49:08"
1372968,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:8d8be824-0282-4918-9bfd-a5ff643aebcf,"2018-12-21 16:49:08"
1372969,"L. Constance",,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:41466419-793d-4168-8396-13261f9a709d,"2018-12-21 16:49:08"
1372970,"L. Constance",,1938,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:cf1e2749-5b27-4165-a930-e58ea0a2dd35,"2018-12-21 16:49:08"
1372971,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:a77a692d-1e2b-48e9-8c95-215fcb83e562,"2018-12-21 16:49:08"
1372972,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:dbd85018-1178-49f5-8dbe-2eb8000e8f5c,"2018-12-21 16:49:08"
1372972,"L. Constance",,1945,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,,urn:uuid:92a5d2d7-2ffe-4f72-adb6-f5a1cffb66a6,"2018-12-21 16:49:08"
1372973,"L. Constance",,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:979fea42-2764-4090-9ba2-4b1006d68443,"2018-12-21 16:49:08"
1372974,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:1a062215-ead9-4809-ad03-e98e651ff669,"2018-12-21 16:49:08"
1372975,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:616810b4-f773-4884-b860-40b07e011efe,"2018-12-21 16:49:08"
1308975,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:08775c3a-f526-4730-be7c-e5205b29fdfa,"2018-12-21 16:49:08"
1372976,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:19531dce-2e9d-4b81-b030-8b38150d75f8,"2018-12-21 16:49:08"
1372977,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:1595df7f-5361-49f7-8c7c-b06bf218bd46,"2018-12-21 16:49:08"
1372978,"Advanced Plant Taxonomy Class 1980",,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:b7942809-9560-4595-aad5-ca3d3af184a3,"2018-12-21 16:49:08"
1372979,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:dd169726-00f5-4880-bdaf-f4cf1a9aeb14,"2018-12-21 16:49:08"
1372980,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:2f6ba639-ff83-40b4-b8bf-2d184149ac82,"2018-12-21 16:49:08"
1343797,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:0b455794-ac4b-4d64-abda-9d53b8aea671,"2018-12-21 16:49:08"
1372981,"M. J. Teiman",,1980,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:641b4627-d10b-41b4-8622-283d6d27a10a,"2018-12-21 16:49:08"
1399350,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:3c60f23b-b5c9-4074-9033-928b03428b65,"2018-12-21 16:49:08"
1372982,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:7976f190-9c87-4df4-b850-b3c2167d89a3,"2018-12-21 16:49:08"
1372983,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:ba481684-c761-43de-a6de-12dab876cb1e,"2018-12-21 16:49:08"
1372983,"L. Constance",,1945,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,,urn:uuid:cb4eceeb-e3f7-4be2-92f6-6dbfc9ed9235,"2018-12-21 16:49:08"
1372984,"L. Constance",,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:ab619a9d-75e6-417b-a83c-54fbfa8756c6,"2018-12-21 16:49:08"
1372985,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:4fbe1f2b-6d68-405a-85fb-545f00b1d647,"2018-12-21 16:49:08"
1372986,,,,,"Nemophila pedunculata Benth.",0,,,,,,,"original determination",urn:uuid:5426ff2e-3988-4de5-aac6-77489bfa572a,"2018-12-21 16:49:08"
1372986,"F. Bowcutt & K. Mawdsley",,25-Apr-96,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey) Voss",0,,,,,,,,urn:uuid:a7f4ce0c-efd6-4adf-85a9-65638526db46,"2018-12-21 16:49:08"
1372987,,,,,"Nemophila atomaria F. & M.",0,,,,,,,"original determination",urn:uuid:f19544a0-3d93-407c-ab27-ad04bc033210,"2018-12-21 16:49:08"
1372987,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey) Voss",0,,,,,,,,urn:uuid:0ab4baf3-d81d-489d-bdf4-22f44c2c2635,"2018-12-21 16:49:08"
1355580,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:81ff3552-3185-4aed-a8a9-1761007f5068,"2018-12-21 16:49:08"
1372988,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey) Voss",0,,,,,,,"original determination",urn:uuid:bb855236-33d1-484c-a218-a2d364c394b4,"2018-12-21 16:49:08"
1372989,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey) Voss",0,,,,,,,"original determination",urn:uuid:1a27131f-b51f-4750-8f8e-7f21d91de349,"2018-12-21 16:49:08"
