coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
1384122,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:090f7ba0-f7da-43a4-bcc2-988b3906e10b,"2018-12-21 16:49:08"
1406410,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey.) Voss",0,,,,,,,"original determination",urn:uuid:9e6dc4d6-7892-4713-b822-7dad802fc852,"2018-12-21 16:49:08"
1399500,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:6154daf0-8227-4699-8386-3df1e1b835b0,"2018-12-21 16:49:08"
1396957,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey.) Voss",0,,,,,,,"original determination",urn:uuid:3ede08be-de42-4086-8347-4cbdbb8f4101,"2018-12-21 16:49:08"
1371106,,,,,"Nemophila menziesii Hook. & Arn. var. menziesii",0,,,,,,,"original determination",urn:uuid:cf17dc5e-ce5c-4dc2-bdbe-b5276adc2221,"2018-12-21 16:49:08"
1299939,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:dcbbd245-f06a-47ec-b08f-19320f50c2a1,"2018-12-21 16:49:08"
1396964,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:4159992d-c16b-4a56-ade9-137aafbe73c8,"2018-12-21 16:49:08"
1399282,,,,,"Nemophila menziesii Hook. & Arn. var. atomaria (Fisch. & C.A. Mey.) Voss",0,,,,,,,"original determination",urn:uuid:864c77c3-6b54-470a-b114-bdbc04deafa0,"2018-12-21 16:49:08"
1399540,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:7f90fcd5-8963-4c71-a040-2857668ac1e5,"2018-12-21 16:49:08"
1298941,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:39cc914d-bd79-45ee-a7de-bc389af70001,"2018-12-21 16:49:08"
1372670,"L. Constance",,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:5c6acb62-8dad-48c7-b3cd-b2a5664838a7,"2018-12-21 16:49:08"
1372671,,,,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,"original determination",urn:uuid:0ad47278-83ed-4600-858b-683e919a6a74,"2018-12-21 16:49:08"
1372671,"L. Constance",,1945,,"Nemophila menziesii Hook. & Arn.",0,,,,,,,,urn:uuid:ad268aa3-c1e0-421e-a0e7-f13258e7d5f4,"2018-12-21 16:49:08"
